MSA_ID,MEASURE_DATE,SURVEY_DATE,PROP_ID,PROP_NAME,PROPERTY_STATUS,YEAR_BUILT,PROPERTY_TOTAL_UNITS,PROPERTY_GRADE_WITHIN_SUBMARKET,PROPERTY_GRADE_WITHIN_MARKET,SUBMARKET_GRADE_WITHIN_MARKET,SUBMARKET,MSA_NAME,ADDRESS,CITY,STATE_ID,ZIP,WEBSITE_ADDRESS,LATITUDE,LONGITUDE,CENSUS_TRACT,CENSUS_BLOCK_GROUP,COUNTY_NAME,FIPS_CODE
19124,5/10/17,5/1/17,42779,cityscape at market center i,stabilized,2014,454,b+,b,b,far north,"dallas-plano-irving, tx",3825 mapleshade ln,plano,tx,75075,http://www.maac.com/texas/dallas/cityscape-at-market-center,33.002831,-96.7677,31709,1,collin county,48085
12420,5/10/17,5/5/17,48136,422 at the lake,lease up,2016,207,a+,a,b,far south,"austin-round rock, tx",422 w riverside dr,austin,tx,78704,http://422atthelakeapartments.com/,30.26005,-97.748894,1305,1,travis county,48453
41884,5/10/17,5/30/17,36879,villas at park merced,stabilized,1955,238,b,b,b+,west san francisco,"san francisco-redwood city-south san francisco, ca",3711 19th ave,san francisco,ca,94132,http://www.parkmerced.com/,37.720547,-122.47543,30900,7,san francisco county,6075
45300,5/10/17,5/30/17,49094,skyhouse channelside,stabilized,2015,320,b,a,a,central tampa,"tampa-st. petersburg-clearwater, fl",112 n 12th st,tampa,fl,33602,http://www.skyhousechannelside.com/,27.948339,-82.446968,5301,3,hillsborough county,12057
19124,5/10/17,5/12/17,65624,the shire,stabilized,2014,56,a+,a+,b+,richardson,"dallas-plano-irving, tx",3601 shire blvd,richardson,tx,75082,http://www.shire3601.com/,33.00111,-96.686691,31900,2,collin county,48085
27260,5/10/17,5/17/17,56586,avesta midtown oaks,stabilized,1976,176,b,b-,b+,southside/university blvd,"jacksonville, fl",1706 art museum dr,jacksonville,fl,32207,http://www.avestamidtownoaks.com/,30.297239,-81.613419,15700,3,duval county,12031
19124,5/10/17,5/30/17,33801,sedona ridge,stabilized,2002,317,b-,c,b,north white rock,"dallas-plano-irving, tx",11100 walnut hill ln,dallas,tx,75238,http://www.novaeagle.com/portfolio-items/sedona/,32.877834,-96.689964,13011,1,dallas county,48113
21340,5/10/17,,73621,greenbriar manor,would not disclose,1973,100,b-,b-,,,"el paso, tx",9285 railroad dr,el paso,tx,79924,http://www.greenbriarmanorapartments.com/,31.875099,-106.4052,204,5,el paso county,48141
26420,5/10/17,5/4/17,2334,breakers,stabilized,1985,272,b-,b-,c,galveston county,"houston-the woodlands-sugar land, tx",8801 monticello dr,texas city,tx,77591,http://www.thebreakersapts.com/,29.392662,-95.010025,723100,2,galveston county,48167
22744,5/10/17,5/31/17,64316,del oro,stabilized,1993,175,c,c+,b+,plantation,"fort lauderdale-pompano beach-deerfield beach, fl",7001 nw 16th st,plantation,fl,33313,http://www.mydeloro.com,26.145208,-80.243469,60501,4,broward county,12011
26420,5/10/17,5/17/17,66036,advenir at grand parkway west,stabilized,2015,336,c,b,b,ft. bend county,"houston-the woodlands-sugar land, tx",5555 long prairie trce,richmond,tx,77407,http://www.adveniratgrandparkwaywest.com/,29.674431,-95.752037,672900,1,fort bend county,48157
41940,5/10/17,5/2/17,3355,aviare apartments,,1997,140,b,b+,b+,cupertino/saratoga,"san jose-sunnyvale-santa clara, ca",,cupertino,ca,95014,http://aviarecupertino.com/,37.336899,-122.0318,508101,3,santa clara county,6085
23104,5/10/17,5/30/17,13863,creek on park place ,stabilized,1980,220,b-,b,b+,hurst/bedford/euless,"fort worth-arlington, tx",2001 park place blvd,bedford,tx,76021,http://www.liveatcreekonparkplace.com/,32.839699,-97.127403,113628,3,tarrant county,48439
31084,5/10/17,5/8/17,81171,woodcrest,stabilized,1976,73,b-,c,b-,west covina/la puente/rowland heights,"los angeles-long beach-glendale, ca",19050 e colima rd,rowland heights,ca,91748,,33.986549,-117.8872,408705,1,los angeles county,6037
